Date,Calorie Goal,Calories Consumed,Calories Burned,Net Calories
"December 31st, 2019",2416.000,2165,555,1610
"December 30th, 2019",2416.000,2570,234,2336
"December 29th, 2019",2416.000,2407,449,1958
"December 28th, 2019",2416.000,2127.5,141,1986.5
"December 27th, 2019",2416.000,2560.5,157,2403.5
"December 26th, 2019",2418.000,2455,266,2189
"December 25th, 2019",2418.000,2714,528,2186
"December 24th, 2019",2418.000,2300,226,2074
"December 23rd, 2019",2418.000,2939.21,944,1995.21
"December 22nd, 2019",2418.000,2589,502,2087
"December 21st, 2019",2418.000,2527.42,109,2418.42
"December 20th, 2019",2418.000,2281.14,175,2106.14
"December 19th, 2019",2418.000,2334.49,493,1841.49
"December 18th, 2019",2418.000,2502,141,2361
"December 17th, 2019",2418.000,2286.5,196,2090.5
"December 16th, 2019",2418.000,3092,549,2543
"December 15th, 2019",2418.000,3561,72,3489
"December 14th, 2019",2418.000,2484.14,581,1903.14
"December 13th, 2019",2423.000,2678.5,145,2533.5
"December 12th, 2019",2423.000,2051.5,48,2003.5
"December 11th, 2019",2423.000,2662,357,2305
"December 10th, 2019",2423.000,2474,376,2098
"December 9th, 2019",2423.000,2534.5,485,2049.5
"December 8th, 2019",2423.000,2209,71,2138
"December 7th, 2019",2423.000,2076.17,78,1998.17
"December 6th, 2019",2423.000,1889,72,1817
"December 5th, 2019",2423.000,2241.5,162,2079.5
"December 4th, 2019",2423.000,2080,35,2045
"December 3rd, 2019",2439.000,2690.15,594,2096.15
"December 2nd, 2019",2439.000,2728.5,676,2052.5
"December 1st, 2019",2439.000,2733.48,821,1912.48
"November 30th, 2019",2446.000,2144.19,148,1996.19
"November 29th, 2019",2446.000,2339.13,444,1895.13
"November 28th, 2019",2446.000,3157,119,3038
"November 27th, 2019",2446.000,2150,139,2011
"November 26th, 2019",2446.000,2474.5,138,2336.5
"November 25th, 2019",2446.000,2297,127,2170
"November 24th, 2019",2446.000,2336.75,37,2299.75
"November 23rd, 2019",2446.000,2572.5,127,2445.5
"November 22nd, 2019",2446.000,1952,50,1902
"November 21st, 2019",2446.000,3131,150,2981
"November 20th, 2019",2446.000,2343.5,76,2267.5
"November 19th, 2019",2446.000,2404.5,118,2286.5
"November 18th, 2019",2446.000,2365,125,2240
"November 17th, 2019",2446.000,1961.5,622,1339.5
"November 16th, 2019",2446.000,2511.6,288,2223.6
"November 15th, 2019",2453.000,2230,78,2152
"November 14th, 2019",2453.000,2546.7,103,2443.7
"November 13th, 2019",2453.000,2445,504,1941
"November 12th, 2019",2453.000,2175,483,1692
"November 11th, 2019",2453.000,2274.5,395,1879.5
"November 10th, 2019",2453.000,2155.5,219,1936.5
"November 9th, 2019",2459.000,1759,124,1635
"November 8th, 2019",2459.000,2080.9,94,1986.9
"November 7th, 2019",2459.000,2000,0,2000
"November 6th, 2019",2459.000,2300,611,1689
"November 5th, 2019",2459.000,2023.75,0,2023.75
"November 4th, 2019",2459.000,2140.3,674,1466.3
"November 3rd, 2019",2459.000,2727,713,2014
"November 2nd, 2019",2472.000,1867.5,0,1867.5
"November 1st, 2019",2472.000,2149,0,2149
"October 31st, 2019",2472.000,2050.5,0,2050.5
"October 30th, 2019",2472.000,1772.25,368,1404.25
"October 29th, 2019",2472.000,2009.41,518,1491.41
"October 28th, 2019",2472.000,2041.98,0,2041.98
"October 27th, 2019",2473.000,1998.52,0,1998.52
"October 26th, 2019",2473.000,2043.64,0,2043.64
"October 25th, 2019",2473.000,3342.02,0,3342.02
"October 24th, 2019",2473.000,1986.5,0,1986.5
"October 23rd, 2019",2492.000,2289.66,0,2289.66
"October 22nd, 2019",2492.000,2169,0,2169
"October 21st, 2019",2492.000,2033,0,2033
"October 20th, 2019",2482.000,2062,1471,591
"October 19th, 2019",2482.000,2246.5,0,2246.5
"October 18th, 2019",2482.000,2479.39,0,2479.39
"October 17th, 2019",2482.000,2514,370,2144
"October 16th, 2019",2489.000,2233,0,2233
"October 15th, 2019",2489.000,1954,0,1954
"October 14th, 2019",2489.000,2463,369,2094
